Event_Type,Total_Days,Includes_Weekend,Time_Period,Actual_Attendance
Meeting,1,0,Morning,10
Workshop,3,0,Morning,86
Conference,2,0,Morning,276
Exhibition,5,0,Evening,12252
Exhibition,7,1,Morning,25470
Seminar,1,0,Morning,54
Exhibition,3,1,Evening,11527
Entertainment,1,1,Evening,472
Workshop,2,0,Morning,59
Exhibition,5,1,Morning,6314
Meeting,1,0,Evening,14
Entertainment,2,1,Evening,983
Entertainment,2,1,Evening,1075
Course,3,0,Morning,18
Workshop,2,1,Morning,40
Course,10,0,Morning,50
Course,3,0,Morning,19
Exhibition,3,1,Morning,7617
Meeting,1,0,Evening,17
Festival,2,1,Evening,1839
Exhibition,7,0,Morning,20318
Entertainment,1,0,Morning,33
Conference,2,0,Morning,245
Conference,1,0,Morning,138
Conference,1,1,Morning,100
Entertainment,2,0,Evening,126
Seminar,1,0,Morning,100
Entertainment,2,0,Morning,63
Festival,1,1,Evening,1579
Meeting,1,0,Morning,22
Workshop,2,0,Morning,59
Exhibition,7,1,Morning,22671
Workshop,1,0,Morning,22
Conference,1,1,Morning,154
Conference,3,0,Evening,453
Workshop,2,0,Morning,58
Exhibition,6,0,Morning,13613
Seminar,1,0,Evening,72
Course,10,0,Evening,29
Exhibition,6,0,Morning,17041
Festival,3,1,Evening,4510
Exhibition,3,1,Morning,10889
Course,5,0,Evening,27
Conference,2,1,Morning,279
Festival,1,0,Evening,956
Exhibition,5,0,Evening,16037
Meeting,1,0,Morning,19
Workshop,2,1,Morning,43
Festival,2,1,Evening,2524
Exhibition,7,0,Morning,18085
Seminar,1,0,Evening,52
Workshop,2,0,Morning,61
Course,5,0,Morning,15
Conference,3,0,Morning,345
Entertainment,2,1,Evening,1197
Course,5,0,Morning,25
Festival,3,1,Morning,3442
Exhibition,3,1,Morning,11200
Festival,2,1,Evening,3057
Course,3,1,Morning,10
Workshop,2,0,Morning,44
Meeting,1,1,Morning,10
Festival,1,1,Morning,873
Course,10,0,Morning,47
Workshop,1,0,Morning,27
Course,12,1,Morning,52
Entertainment,1,0,Evening,99
Festival,1,1,Evening,1483
Meeting,1,0,Evening,14
Seminar,1,0,Morning,71
Meeting,1,0,Evening,13
Seminar,2,0,Evening,105
Exhibition,5,0,Morning,10965
Exhibition,6,1,Evening,17414
Meeting,1,0,Evening,17
Course,3,0,Evening,15
Meeting,1,0,Evening,15
Conference,2,1,Morning,242
Festival,1,1,Evening,1380
Exhibition,5,1,Evening,11811
Exhibition,7,0,Evening,20820
Entertainment,1,1,Morning,180
Workshop,3,0,Evening,68
Workshop,3,0,Morning,82
Exhibition,5,1,Evening,15667
Conference,2,0,Morning,235
Seminar,1,1,Evening,59
Workshop,3,0,Morning,78
Festival,3,1,Evening,3134
Seminar,1,1,Evening,47
Exhibition,5,0,Morning,15672
Course,7,0,Evening,20
Workshop,2,1,Morning,38
Exhibition,3,0,Morning,12583
Exhibition,3,0,Evening,4767
Seminar,2,0,Morning,141
Meeting,1,0,Morning,18
Course,9,1,Evening,23
Course,8,0,Morning,36
Seminar,1,0,Morning,113
Workshop,3,0,Morning,74
Conference,1,0,Evening,137
Exhibition,6,0,Morning,19215
Course,8,1,Morning,32
Meeting,1,0,Evening,12
Workshop,3,1,Morning,75
Exhibition,6,1,Morning,21185
Conference,2,0,Morning,183
Festival,2,1,Evening,3402
Entertainment,1,1,Evening,625
Course,5,1,Morning,21
Course,4,1,Morning,13
Seminar,1,1,Morning,62
Exhibition,5,1,Evening,14495
Exhibition,5,1,Morning,15935
Exhibition,6,1,Evening,21543
Entertainment,2,1,Evening,936
Exhibition,3,0,Morning,7952
Entertainment,1,0,Morning,32
Workshop,3,0,Morning,70
Seminar,1,1,Evening,30
Meeting,1,0,Morning,15
Workshop,1,0,Morning,32
Workshop,2,1,Morning,36
Meeting,1,1,Evening,10
Entertainment,2,0,Evening,183
Workshop,2,1,Morning,32
Entertainment,2,0,Morning,80
Course,3,0,Morning,18
Meeting,1,0,Morning,14
Exhibition,3,1,Morning,8391
Festival,1,1,Evening,1153
Course,13,1,Evening,58
Entertainment,1,0,Morning,20
Course,9,1,Morning,38
Conference,2,0,Morning,296
Exhibition,7,0,Morning,15532
Conference,3,0,Morning,587
Meeting,1,0,Morning,15
Festival,2,1,Evening,3388
Workshop,2,0,Morning,70
Festival,1,0,Evening,1037
Exhibition,4,1,Morning,11033
Conference,2,0,Evening,266
Workshop,2,0,Morning,49
Workshop,2,0,Morning,43
Workshop,1,0,Morning,16
Entertainment,2,0,Evening,99
Meeting,1,0,Morning,13
Exhibition,4,1,Morning,7964
Course,13,0,Evening,56
Conference,3,0,Evening,408
Exhibition,3,0,Morning,7815
Exhibition,7,1,Morning,13640
Workshop,3,0,Morning,78
Entertainment,2,0,Evening,158
Exhibition,5,1,Evening,9357
Seminar,1,0,Morning,55
Festival,2,1,Evening,3137
Exhibition,4,1,Morning,13096
Entertainment,2,1,Evening,1436
Workshop,1,0,Evening,16
Workshop,3,0,Morning,85
Seminar,1,0,Morning,62
Conference,2,0,Morning,281
Exhibition,7,0,Morning,12509
Workshop,1,1,Morning,22
Workshop,3,0,Morning,103
Conference,3,0,Evening,307
Entertainment,2,0,Morning,53
Workshop,1,0,Morning,23
Seminar,1,0,Morning,109
Workshop,2,0,Morning,61
Festival,2,1,Evening,1632
Entertainment,2,0,Morning,60
Conference,1,1,Morning,145
Exhibition,6,0,Morning,15130
Workshop,3,0,Morning,96
Course,8,1,Evening,28
Meeting,1,0,Morning,14
Workshop,1,1,Evening,16
Entertainment,1,0,Morning,37
Entertainment,2,0,Morning,61
Festival,2,1,Evening,3095
Conference,3,0,Morning,556
Exhibition,7,1,Morning,25141
Entertainment,1,0,Evening,92
Course,8,0,Morning,33
Course,6,1,Evening,22
Entertainment,2,1,Evening,1134
Exhibition,5,0,Morning,12137
Exhibition,5,0,Morning,13265
Seminar,1,0,Evening,46
Workshop,3,1,Evening,45
Conference,1,0,Evening,102
Seminar,1,1,Morning,82
Conference,1,0,Morning,143
Exhibition,5,1,Evening,17154
Exhibition,4,1,Morning,14503
Seminar,1,0,Morning,57
Exhibition,4,0,Morning,11236
Exhibition,6,1,Morning,18589
Workshop,1,0,Morning,37
Workshop,2,0,Morning,44
Seminar,1,1,Morning,38
Conference,1,0,Morning,150
Exhibition,6,0,Evening,13390
Course,10,0,Morning,43
Course,5,1,Evening,18
Course,10,1,Morning,37
Exhibition,3,0,Evening,7805
Workshop,2,0,Evening,35
Entertainment,2,0,Morning,44
Exhibition,6,0,Evening,12157
Exhibition,3,0,Morning,6531
Festival,1,1,Evening,1418
Meeting,1,0,Evening,11
Exhibition,4,1,Evening,9995
Course,14,0,Morning,52
Workshop,1,0,Morning,21
Meeting,1,0,Morning,19
Entertainment,2,1,Evening,1166
Conference,3,0,Morning,455
Workshop,1,0,Morning,24
Festival,3,1,Evening,4548
Conference,3,0,Morning,329
Exhibition,6,0,Evening,15805
Exhibition,4,0,Evening,11186
Workshop,3,0,Evening,70
Exhibition,4,0,Evening,13398
Workshop,1,0,Morning,31
Seminar,2,0,Morning,189
Conference,3,0,Morning,460
Course,12,0,Morning,64
Entertainment,1,0,Morning,37
Exhibition,4,0,Morning,9489
Entertainment,2,1,Morning,569
Conference,2,0,Morning,248
Workshop,3,1,Morning,64
Workshop,2,0,Morning,54
Workshop,2,0,Morning,65
Exhibition,6,1,Evening,20184
Workshop,1,0,Morning,31
Seminar,1,0,Evening,76
Festival,1,1,Evening,1706
Workshop,1,0,Morning,34
Festival,3,0,Evening,3834
Course,5,0,Morning,12
Festival,2,1,Morning,1532
Meeting,1,0,Evening,13
Workshop,1,0,Morning,25
Exhibition,6,1,Morning,14248
Meeting,1,0,Morning,10
Meeting,1,1,Evening,10
Workshop,3,0,Evening,75
Exhibition,5,0,Morning,8859
Conference,2,0,Morning,237
Conference,1,0,Morning,134
Workshop,1,1,Evening,19
Course,11,0,Morning,43
Meeting,1,0,Morning,15
Conference,1,0,Morning,126
Exhibition,3,0,Morning,10150
Course,9,0,Morning,54
Course,5,0,Morning,24
Workshop,2,0,Evening,33
Meeting,1,0,Evening,14
Workshop,1,0,Evening,29
Exhibition,5,0,Morning,19496
Course,8,0,Morning,33
Course,13,1,Morning,50
Workshop,1,0,Morning,24
Meeting,1,0,Morning,19
Conference,2,0,Evening,218
Festival,1,1,Morning,1028
Workshop,3,0,Evening,70
Workshop,1,0,Evening,20
Conference,1,0,Evening,124
Exhibition,6,0,Evening,12451
Exhibition,7,0,Morning,20912
Exhibition,6,1,Morning,17665
Seminar,2,0,Morning,167
Course,7,1,Morning,28
Conference,3,1,Morning,462
Conference,2,0,Evening,215
Meeting,1,0,Morning,13
Workshop,3,1,Evening,56
Workshop,3,0,Morning,81
Workshop,3,1,Evening,71
Workshop,2,0,Morning,55
Meeting,1,1,Morning,12
Workshop,2,0,Evening,27
Festival,2,1,Morning,2206
Course,12,0,Morning,64
Seminar,1,0,Evening,77
Workshop,3,0,Morning,58
Exhibition,6,1,Morning,17555
Exhibition,6,1,Morning,14311
Conference,3,0,Evening,271
Conference,2,0,Evening,256
Seminar,2,1,Morning,200
Festival,2,1,Evening,2352
Course,7,1,Evening,21
Conference,1,1,Evening,79
Workshop,1,1,Evening,17
Course,11,0,Morning,44
Workshop,1,0,Morning,27
Workshop,3,0,Morning,70
Workshop,1,1,Morning,22
Meeting,1,0,Morning,10
Entertainment,2,0,Morning,33
Exhibition,7,0,Evening,15633
Course,7,0,Morning,39
Workshop,2,0,Evening,51
Course,13,0,Evening,49
Course,13,1,Morning,65
Meeting,1,0,Morning,13
Conference,1,0,Evening,104
Workshop,3,1,Evening,54
Workshop,2,0,Morning,55
Entertainment,1,1,Morning,157
Workshop,3,0,Morning,91
Entertainment,2,0,Evening,191
Entertainment,2,1,Evening,1032
Seminar,2,1,Morning,185
Course,5,0,Morning,28
Seminar,1,0,Evening,62
Conference,1,0,Morning,101
Workshop,2,0,Morning,62
Workshop,3,0,Evening,44
Entertainment,2,1,Morning,324
Workshop,3,0,Morning,73
Seminar,1,1,Morning,71
Entertainment,2,1,Morning,409
Exhibition,7,0,Evening,22606
